site_id,latitude,longitude,start_date,end_date,status,timestamp,pm10,pm2_5,aqi
4.64765E+12,-37.8139688,144.9724346,2023-07-11,2026-07-11,active,2026-04-12T18:00,6.0,4.1,21
1564848809156/A,-37.8139688,144.9724346,2023-07-12,2026-07-12,active,2026-04-12T18:00,6.0,4.1,21
5.35353E+12,-37.816858,144.9687277,2023-06-30,2026-06-30,active,2026-04-12T18:00,6.0,4.1,21
2.15799E+12,-37.811721,144.9639722,2023-04-03,2026-04-03,inactive,2026-04-12T18:00,6.0,4.1,21
1995834565892/0A,-37.8109402,144.9619384,2023-07-06,2026-07-06,active,2026-04-12T18:00,6.0,4.1,21
2.77938E+12,-37.8188041,144.9503704,2023-06-28,2026-06-28,active,2026-04-12T18:00,6.0,4.1,21
54182/7949157407681/1,-37.8165168,144.9565571,2023-06-20,2026-06-20,active,2026-04-12T18:00,6.0,4.1,21
7.40428E+12,-37.8121554,144.9634568,2023-06-20,2026-06-20,active,2026-04-12T18:00,6.0,4.1,21
4465428644581/A,-37.8139688,144.9724346,2023-06-14,2026-06-14,active,2026-04-12T18:00,6.0,4.1,21
7.74511E+12,-37.8109402,144.9619384,2023-06-09,2026-06-09,active,2026-04-12T18:00,6.0,4.1,21
2.59551E+12,-37.8123411,144.9653725,2023-06-15,2026-06-15,active,2026-04-12T18:00,6.0,4.1,21
4.07519E+12,-37.811721,144.9639722,2023-06-07,2026-06-07,active,2026-04-12T18:00,6.0,4.1,21
2.1506E+12,-37.8395111,144.9777343,2023-06-07,2026-06-07,active,2026-04-12T18:00,6.0,4.1,21
54182/2645452997477/0A,-37.8159953,144.9649134,2023-06-02,2026-06-02,active,2026-04-12T18:00,6.0,4.1,21
58098/4373872467518/A2,-37.7965126,144.9319336,2023-06-02,2026-06-02,active,2026-04-12T18:00,4.6,3.4,20
58098/4373872467518,-37.7965126,144.9319336,2023-06-02,2026-06-02,active,2026-04-12T18:00,4.6,3.4,20
58098/4373872467518/A,-37.7965126,144.9319336,2023-06-02,2026-06-02,active,2026-04-12T18:00,4.6,3.4,20
62181/6328489690109,-37.8226669,144.9688984,2023-05-26,2026-05-26,active,2026-04-12T18:00,6.0,4.1,21
62181/5371513956005,-37.8226669,144.9688984,2023-05-26,2026-05-26,active,2026-04-12T18:00,6.0,4.1,21
8464794815864/0,-37.8109402,144.9619384,2023-05-26,2026-05-26,active,2026-04-12T18:00,6.0,4.1,21
8464794815864/A,-37.8109402,144.9619384,2023-05-26,2026-05-26,active,2026-04-12T18:00,6.0,4.1,21
7500891466448/0A,-37.8109402,144.9619384,2023-05-27,2026-05-27,active,2026-04-12T18:00,6.0,4.1,21
1.03861E+12,-37.8159953,144.9649134,2022-06-22,2025-06-22,inactive,2026-04-12T18:00,6.0,4.1,21
54182/1885223583482/0A,-37.8159953,144.9649134,2023-05-12,2026-05-12,active,2026-04-12T18:00,6.0,4.1,21
54182/1885223583482/0,-37.8159953,144.9649134,2023-05-12,2026-05-12,active,2026-04-12T18:00,6.0,4.1,21
2.98054E+12,-37.8159953,144.9649134,2023-05-08,2026-05-08,active,2026-04-12T18:00,6.0,4.1,21
6781729630766/0A,-37.8145283,144.9705094,2023-05-05,2026-05-05,active,2026-04-12T18:00,6.0,4.1,21
6.83299E+12,-37.8105732,144.9612017,2023-05-09,2026-05-09,active,2026-04-12T18:00,6.0,4.1,21
3.5868E+12,-37.8121554,144.9634568,2023-05-03,2026-05-09,active,2026-04-12T18:00,6.0,4.1,21
4627467270799/1A,-37.8159953,144.9649134,2023-05-02,2026-05-02,active,2026-04-12T18:00,6.0,4.1,21
5.5989E+12,-37.8139688,144.9724346,2023-05-05,2026-05-05,active,2026-04-12T18:00,6.0,4.1,21
4.75733E+12,-37.8158966,144.9585893,2023-03-30,2026-04-06,inactive,2026-04-12T18:00,6.0,4.1,21
4757325849061/VA,-37.8158966,144.9585893,2023-03-30,2026-04-06,inactive,2026-04-12T18:00,6.0,4.1,21
4.68791E+12,-37.8158966,144.9585893,2023-04-18,2026-04-18,active,2026-04-12T18:00,6.0,4.1,21
6.80062E+12,-37.811721,144.9639722,2023-04-11,2026-01-23,inactive,2026-04-12T18:00,6.0,4.1,21
5662414496666/A,-37.811721,144.9639722,2023-03-20,2026-01-23,inactive,2026-04-12T18:00,6.0,4.1,21
8475885526913/C,-37.8226669,144.9688984,2023-04-19,2026-04-19,active,2026-04-12T18:00,6.0,4.1,21
4.19244E+12,-37.8034613,144.9576082,2022-07-08,2025-07-08,inactive,2026-04-12T18:00,6.0,4.1,21
4.69804E+12,-37.8225861,144.962141,2023-03-15,2026-12-14,active,2026-04-12T18:00,6.0,4.1,21
3.01705E+12,-37.8156833,144.9726695,2023-09-05,2025-05-19,inactive,2026-04-12T18:00,6.0,4.1,21
3400163138820/VA,-37.8159588,144.9610992,2023-03-22,2026-03-22,inactive,2026-04-12T18:00,6.0,4.1,21
9.1024E+12,-37.8141141,144.9643941,2023-03-24,2026-03-24,inactive,2026-04-12T18:00,6.0,4.1,21
9.08167E+12,-37.8156833,144.9726695,2022-05-19,2025-05-19,inactive,2026-04-12T18:00,6.0,4.1,21
5.06761E+12,-37.8162533,144.9569167,2023-03-21,2026-03-21,inactive,2026-04-12T18:00,6.0,4.1,21
5.55586E+12,-37.8139688,144.9724346,2023-03-17,2026-03-17,inactive,2026-04-12T18:00,6.0,4.1,21
9.69515E+12,-37.8145283,144.9705094,2022-12-18,2025-10-27,inactive,2026-04-12T18:00,6.0,4.1,21
9.70021E+12,-37.7965126,144.9319336,2023-03-01,2026-03-01,inactive,2026-04-12T18:00,4.6,3.4,20
4.4093E+12,-37.815781,144.9620958,2023-03-09,2026-03-09,inactive,2026-04-12T18:00,6.0,4.1,21
8.07676E+12,-37.8217098,144.949833,2023-03-01,2026-03-01,inactive,2026-04-12T18:00,6.0,4.1,21
7.36259E+12,-37.8146346,144.9625779,2023-02-24,2026-02-24,inactive,2026-04-12T18:00,6.0,4.1,21
7.53501E+12,-37.8121788,144.9700065,2023-02-20,2026-02-20,inactive,2026-04-12T18:00,6.0,4.1,21
4.2443E+12,-37.8061463,144.959648,2023-01-24,2026-05-18,active,2026-04-12T18:00,6.0,4.1,21
5.45651E+12,-37.8225861,144.962141,2023-02-06,2026-02-06,inactive,2026-04-12T18:00,6.0,4.1,21
42518.75748,-37.8156833,144.9726695,2022-02-24,2024-12-16,inactive,2026-04-12T18:00,6.0,4.1,21
